y_true,y_pred,y_std,abs_error,rel_error_%
6.767622,9.191361,1.4769825,2.4237394,35.813755
8.626948,4.6118436,1.0067314,4.015105,46.541424
0.0,2.4914067,1.1112922,2.4914067,249140670.0
6.487446,9.394908,1.7522532,2.9074621,44.816746
0.0,2.5400293,1.2117965,2.5400293,254002930.0
0.0,3.1507368,1.2370616,3.1507368,315073660.0
0.0,0.0,2.1283176,0.0,0.0
0.0,6.7855997,1.3858067,6.7855997,678560000.0
14.916421,13.8899765,1.4144646,1.0264444,6.8813047
0.0,1.0773273,1.1863825,1.0773273,107732730.0
0.0,3.7324035,1.6863294,3.7324035,373240350.0
10.03318,7.7076445,3.0377824,2.3255358,23.178452
3.897901,5.849803,1.089661,1.9519019,50.075714
0.0,3.389776,1.2232,3.389776,338977600.0
13.369327,10.218331,1.1167146,3.1509953,23.56884
0.0,0.0,1.1471266,0.0,0.0
0.0,3.9757025,1.2495774,3.9757025,397570240.0
11.294369,12.76342,1.047844,1.4690514,13.006936
125.010056,146.94327,3.0719202,21.933212,17.545158
0.0,3.4964988,1.5294929,3.4964988,349649900.0
167.66536,149.88658,1.3348213,17.778778,10.603727
1.563591,1.7054448,1.642346,0.14185381,9.0723095
20.992844,10.306084,1.1551824,10.68676,50.90668
0.0,3.7462854,1.0595466,3.7462854,374628540.0
18.050842,12.068996,1.0112852,5.981846,33.138874
0.0,3.8595192,1.087719,3.8595192,385951940.0
0.0,0.0,2.5954878,0.0,0.0
0.0,10.384043,1.7759074,10.384043,1038404300.0
0.0,0.0,1.3655006,0.0,0.0
0.0,0.0,1.2619139,0.0,0.0
23.177315,11.855423,1.3123395,11.321892,48.849026
20.227623,21.633038,1.8722093,1.4054146,6.9479966
10.734706,8.782506,3.0613475,1.9521999,18.185873
20.2237,2.9045172,1.3349335,17.319183,85.638054
8.553743,10.450931,1.3095526,1.8971872,22.179613
42.99527,55.303238,4.874748,12.307968,28.626331
5.96337,3.031048,2.9232426,2.9323218,49.172226
5.196671,5.844076,1.1609544,0.64740515,12.458075
2.2199697,0.9601526,2.382369,1.2598171,56.74929
0.0,0.0,3.79546,0.0,0.0
0.0,0.0,4.131413,0.0,0.0
7.5016932,7.65889,1.324928,0.15719652,2.0954804
0.0,2.3974764,1.2189473,2.3974764,239747650.0
10.363795,9.676677,1.2679145,0.68711853,6.6299896
96.47443,102.232414,2.85826,5.757988,5.968409
0.91099983,7.201499,0.9926201,6.290499,690.505
0.0,0.0,1.0915035,0.0,0.0
0.0,7.843795,1.1010725,7.843795,784379460.0
1.2322317,4.680886,1.1169033,3.4486542,279.87057
0.0,1.4435236,1.1399786,1.4435236,144352370.0
0.0,5.4656067,1.1509395,5.4656067,546560640.0
10.989389,8.361632,1.0688914,2.627757,23.911764
0.0,0.6071775,1.2406459,0.6071775,60717750.0
9.631765,11.146679,1.1032046,1.5149136,15.728307
0.0,0.7262862,1.804268,0.7262862,72628616.0
0.0,0.0,1.0944283,0.0,0.0
0.0,3.1536233,3.1128426,3.1536233,315362340.0
9.510533,3.4707818,1.2857773,6.0397515,63.50592
21.571123,8.525315,1.1667238,13.045808,60.47811
0.0,9.907716,1.5834937,9.907716,990771600.0
4.2359858,9.222063,1.107286,4.9860773,117.7076
0.0,0.0,2.883609,0.0,0.0
15.028497,12.066065,1.1903414,2.962432,19.712097
40.22826,12.173405,1.2848076,28.054855,69.739174
1.4718249,9.897826,1.3677225,8.426002,572.4867
16.639835,10.966223,2.5373485,5.6736126,34.09657
58.75563,55.242702,3.1650872,3.512928,5.9788785
0.0,1.584894,1.0490746,1.584894,158489390.0
2.4147341,3.209694,1.5744073,0.7949598,32.921215
6.3860693,4.72052,0.92767084,1.6655493,26.080978
11.036226,10.54765,2.0362413,0.48857594,4.42702
0.0,0.013809919,1.3160659,0.013809919,1380992.0
23.373775,9.676289,1.0801445,13.697487,58.601944
0.0,0.0,1.3624136,0.0,0.0
26.104748,40.852863,1.6264966,14.748116,56.49591
6.7428594,3.6132824,1.124577,3.129577,46.413204
0.0,1.2062881,1.5977699,1.2062881,120628810.0
0.0,5.5867224,1.2574965,5.5867224,558672260.0
6.545566,10.284967,1.1563755,3.7394013,57.12877
23.651722,18.552628,1.4225584,5.0990944,21.559082
23.335878,17.752918,1.4515059,5.58296,23.924362
16.193535,12.490851,1.1683959,3.7026834,22.865196
0.0,0.0,3.0981412,0.0,0.0
12.105862,13.053156,2.4978912,0.94729424,7.825087
0.0,0.0,1.2586994,0.0,0.0
0.0,0.0,1.356218,0.0,0.0
17.130287,9.95605,1.0579207,7.1742373,41.880424
52.10357,15.90694,1.3398275,36.19663,69.470535
0.0,1.733113,1.5023837,1.733113,173311310.0
0.0,4.6181326,0.92088467,4.6181326,461813280.0
11.782064,6.3851957,1.1564374,5.3968687,45.8058
0.0,3.692087,1.6688818,3.692087,369208670.0
0.0,0.0,1.2747782,0.0,0.0
0.0,0.0,1.2712063,0.0,0.0
6.9691725,6.3581934,1.4524306,0.6109791,8.766881
24.874939,15.875856,1.205322,8.999083,36.177307
35.43982,28.76655,1.878783,6.6732693,18.829863
7.6712914,4.9554124,1.5105199,2.715879,35.403152
0.0,1.8672869,1.063773,1.8672869,186728700.0
3.4963279,8.851224,2.068579,5.354896,153.15773
0.0,1.7400467,1.3756727,1.7400467,174004670.0
4.4665914,2.3534825,1.0208999,2.1131089,47.309204
7.2599277,8.963873,1.7040836,1.7039452,23.470552
0.0,0.0,2.7277942,0.0,0.0
0.0,5.53652,1.1985682,5.53652,553652000.0
11.208888,8.760612,1.323229,2.4482765,21.842278
0.0,0.0,1.1578269,0.0,0.0
8.881784e-14,6.062372,1.3241036,6.062372,606237250.0
22.071463,17.321728,1.8733387,4.749735,21.5198
0.0,1.6732023,1.5783832,1.6732023,167320220.0
9.637576,7.2215385,1.209803,2.4160376,25.068933
10.579389,13.033245,1.4223982,2.4538565,23.19469
2.7577715,0.0,2.7307248,2.7577715,100.00001
15.069878,21.397617,1.370552,6.3277397,41.989326
1.4375503,6.3103485,1.4017861,4.872798,338.9654
5.7229414,8.052942,1.1968682,2.3300009,40.713345
0.0,0.0,1.3049486,0.0,0.0
7.0727987,9.559043,1.0224252,2.4862442,35.1522
0.0,5.6337423,1.297278,5.6337423,563374200.0
86.36523,80.41429,2.930993,5.9509354,6.8904295
30.059643,31.449978,1.5379611,1.3903351,4.6252546
25.196077,20.73194,3.887767,4.464138,17.717592
6.731985,7.5760574,1.2743068,0.84407234,12.538239
0.0,3.2858922,2.5914326,3.2858922,328589250.0
0.0,3.8519444,1.095906,3.8519444,385194460.0
76.95631,71.73215,3.4054134,5.2241592,6.788474
0.0,2.177634,1.9259735,2.177634,217763400.0
6.75843,4.1115427,1.6413388,2.6468873,39.16423
29.865324,32.248844,2.0589027,2.3835201,7.980895
5.7193313,3.6492627,2.3876162,2.0700686,36.194244
