y_true,y_pred,abs_error,rel_error_%
0.000100578916,0.0031758992,0.0030753203,3057.6191
3.6340957,2.3742542,1.2598414,34.667263
0.00056949287,-0.0057042874,0.0062737805,1101.6434
0.022332914,0.02846471,0.006131796,27.45632
0.048765983,0.1868078,0.13804181,283.0699
0.00033130907,0.0022145526,0.0018832436,568.425
0.067194134,0.1301799,0.06298576,93.737
7.0941057,3.9346843,3.1594214,44.535866
0.09000578,0.119007275,0.029001497,32.221817
0.00072336587,0.0039548604,0.0032314945,446.7303
0.0017941968,0.015220278,0.013426081,748.3059
0.00032942588,0.0025874139,0.002257988,685.43134
0.0024985657,-0.00091180886,0.0034103745,136.49329
22.628666,8.655868,13.972798,61.74822
0.86550367,0.3367313,0.52877235,61.094177
0.0023375563,0.015643846,0.01330629,569.2393
0.9145445,0.55272114,0.36182338,39.563232
0.00021348956,0.001301678,0.0010881885,509.7151
0.014456761,0.0287246,0.014267839,98.693184
0.00046438433,0.000469777,5.392678e-06,1.1612532
0.2026556,2.6844373,2.4817817,1224.6302
0.015792072,0.022292227,0.0065001547,41.160873
5.627733e-05,-0.0047735935,0.004829871,8582.268
0.0012030185,-0.013578579,0.014781597,1228.709
10.132832,4.6033444,5.529487,54.57001
0.00059742975,0.0138668455,0.013269416,2221.084
0.20039675,0.18166363,0.018733114,9.348013
0.0617732,0.06964195,0.007868748,12.738127
0.0013010585,0.011338697,0.010037638,771.49786
0.07382107,0.03238609,0.041434977,56.128937
0.010096095,0.012699761,0.0026036669,25.78885
0.00040953647,-0.001950518,0.0023600545,576.2746
0.0002134123,-0.000811282,0.0010246943,480.1477
0.00967013,-8.494762e-05,0.009755078,100.878456
0.000770876,0.0101775415,0.009406665,1220.2566
6.218661,2.4991925,3.7194684,59.811405
2.226917,3.219418,0.992501,44.568386
0.42181885,0.91285086,0.491032,116.408264
1.2619747,1.7280927,0.46611798,36.935604
0.0050566276,0.029320734,0.024264107,479.84763
0.003332062,0.043826308,0.040494245,1215.2909
0.17986917,0.293117,0.11324781,62.961212
0.0010291683,0.013548539,0.012519371,1216.4552
0.07439054,0.09477598,0.020385444,27.403276
0.0008050568,0.00039042716,0.00041462967,51.503155
4.448912,7.361451,2.912539,65.466324
0.0077685406,0.08400618,0.07623764,981.3637
0.06092902,0.120933145,0.060004126,98.48201
0.0006988874,0.0036355606,0.0029366734,420.19266
0.0023137107,0.015097559,0.012783849,552.5258
0.10735226,0.1125945,0.0052422434,4.883217
0.0024309508,0.018417044,0.015986092,657.60657
0.018760093,0.027558414,0.008798322,46.899136
0.0011895931,0.0019714239,0.00078183075,65.722534
0.024745649,0.116092935,0.091347285,369.14484
0.0006249113,0.0048870356,0.004262124,682.0367
0.0019852538,0.0046228934,0.0026376396,132.86159
9.162888e-05,0.0014405582,0.0013489294,1472.1663
0.7641727,0.63635814,0.12781453,16.72587
0.12611102,0.1636713,0.037560284,29.783508
0.030258162,0.04364212,0.013383957,44.23255
2.567959,3.0595794,0.4916203,19.144398
0.3777072,0.09976747,0.27793974,73.58603
0.029729525,0.13755985,0.10783032,362.7045
0.24685997,0.21911396,0.027746007,11.2395735
1.0276781,1.8293409,0.8016628,78.00719
0.0005663932,0.007844397,0.0072780037,1284.9738
0.0006247327,0.003437514,0.0028127814,450.23758
0.001073755,0.004798353,0.0037245983,346.876
0.00094372133,-0.0029855163,0.003929238,416.3557
0.097295664,0.2979677,0.20067203,206.24973
0.051816076,0.22425933,0.17244326,332.79877
0.022882083,0.18856373,0.16568165,724.06714
0.12126863,0.15377647,0.032507837,26.806469
0.097908586,0.46997473,0.37206614,380.01382
0.025418725,0.07408801,0.048669282,191.47018
0.0024138489,-0.002716312,0.0051301606,212.5303
0.012435793,0.045569308,0.033133514,266.43668
0.0017318637,0.0004587129,0.0012731508,73.513336
0.0001352965,-0.0017046463,0.0018399428,1359.9337
0.0006689078,0.0036857878,0.00301688,451.01584
0.17759311,0.26529014,0.08769703,49.380875
0.07640427,0.0741257,0.0022785738,2.9822598
0.0059127603,0.015624906,0.009712146,164.2574
2.164323,2.6189497,0.45462656,21.005484
0.00089478784,0.0021609594,0.0012661716,141.50523
0.0066471207,0.07370107,0.06705395,1008.7669
0.003994965,0.065392084,0.06139712,1536.8625
0.0010707101,-0.0026627649,0.003733475,348.69147
0.00048308642,0.012489174,0.012006087,2485.2876
